vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
ABMS,Provider Specialty (American Board of Medical Specialties),http://www.abms.org/member-boards/specialty-subspecialty-certificates,2018-06-26 ABMS,45756746
ATC,WHO Anatomic Therapeutic Chemical Classification,http://www.whocc.no/atc_ddd_index/,RxNorm 20210907,44819117
CDM,OMOP Common DataModel,https://github.com/OHDSI/CommonDataModel,CDM v6.0.0,32485
CMS Place of Service,Place of Service Codes for Professional Claims (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf,2009-01-11,44819110
Cohort Type,OMOP Cohort Type,OMOP generated,NA,44819234
Concept Class,OMOP Concept Class,OMOP generated,NA,44819233
Condition Status,OMOP Condition Status,OMOP generated,NA,32887
Condition Type,OMOP Condition Occurrence Type,OMOP generated,NA,44819127
Cost,OMOP Cost,OMOP generated,NA,581457
Cost Type,OMOP Cost Type,OMOP generated,NA,5029
CPT4,Current Procedural Terminology version 4 (AMA),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2021 Release,44819100
Currency,International Currency Symbol (ISO 4217),http://www.iso.org/iso/home/standards/currency_codes.htm,2008,44819153
CVX,CDC Vaccine Administered CVX (NCIRD),https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx,CVX Code Set 20210917,581400
Death Type,OMOP Death Type,OMOP generated,NA,44819135
Device Type,OMOP Device Type,OMOP generated,NA,44819151
dm+d,Dictionary of Medicines and Devices (NHS),https://isd.hscic.gov.uk/trud3/user/authenticated/group/0/pack/1/subpack/24/releases,dm+d Version 6.3.0 20210628,232
Domain,OMOP Domain,OMOP generated,NA,44819147
Drug Type,OMOP Drug Exposure Type,OMOP generated,NA,44819126
Episode,OMOP Episode,OMOP generated,Episode 20201014,32523
Ethnicity,OMOP Ethnicity,OMOP generated,NA,44819134
Gemscript,Gemscript (Resip),FDB UK distribution package,Gemscript 2021-02-01,44819144
Gender,OMOP Gender,OMOP generated,NA,44819108
HCPCS,Healthcare Common Procedure Coding System (CMS),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020 Alpha Numeric HCPCS File,44819101
HES Specialty,Hospital Episode Statistics Specialty (NHS),http://www.datadictionary.nhs.uk/data_dictionary/attributes/m/main_specialty_code_de.asp?shownav=0,2018-06-26 HES Specialty,44819145
ICD10CM,"International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)",http://www.cdc.gov/nchs/icd/icd10cm.htm,ICD10CM FY2022 code descriptions,44819098
ICD9CM,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,5046
ICD9Proc,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,44819099
Korean Revenue Code,Korean Revenue Code,OMOP generated,NA,32724
LOINC,Logical Observation Identifiers Names and Codes (Regenstrief Institute),http://loinc.org/downloads/loinc,LOINC 2.71,44819102
Meas Type,OMOP Measurement Type,OMOP generated,NA,44819152
Medicare Specialty,Medicare provider/supplier specialty codes (CMS),http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html,2018-06-26 Specialty,44819138
Metadata,Metadata,OMOP generated,NA,32675
NDC,National Drug Code (FDA and manufacturers),"http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip",NDC 20220403,44819105
None,OMOP Standardized Vocabularies,OMOP generated,v5.0 09-APR-22,44819096
Note Type,OMOP Note Type,OMOP generated,NA,44819146
NUCC,National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC),http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132,2018-06-26 NUCC,44819137
Obs Period Type,OMOP Observation Period Type,OMOP generated,NA,44819149
Observation Type,OMOP Observation Type,OMOP generated,NA,44819129
OMOP Extension,OMOP Extension (OHDSI),OMOP generated,OMOP Extension 20220408,32758
OSM,OpenStreetMap,"https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/",OSM Release 2019-02-21,32541
OXMIS,Oxford Medical Information System (OCHP),"Codes extracted from GPRD database, courtesy of GSK",NA,44819114
Plan,"Health Plan - contract to administer healthcare transactions by the payer, facilitated by the sponsor",OMOP generated,NA,32471
Plan Stop Reason,Plan Stop Reason - Reason for termination of the Health Plan,OMOP generated,NA,32474
